Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err,Matches
1,Patrick van Aanholt\5f09991f,nl NED,DF,Crystal Palace,eng Premier League,26,1990,24.3,55,35,39,14,2,27,46,58.7,19,265,91,34.3,139,95,31,35,5,0,30,45,100,69,2,Matches
2,Rolando Aarons\c5942695,eng ENG,FWMF,Newcastle Utd,eng Premier League,21,1995,1.5,5,4,3,1,1,2,4,50.0,2,39,9,23.1,15,16,8,3,0,0,3,2,7,0,0,Matches
3,Rolando Aarons\c5942695,eng ENG,MFFW,Hellas Verona,it Serie A,21,1995,5.7,12,9,4,5,3,1,5,20.0,4,117,32,27.4,23,60,34,4,0,0,4,1,13,0,0,Matches
4,Ignazio Abate\1c529186,it ITA,DF,Milan,it Serie A,30,1986,11.7,21,15,12,8,1,11,18,61.1,7,141,46,32.6,53,58,30,29,2,0,27,4,25,17,0,Matches
5,Aymen Abdennour\2f798b41,tn TUN,DF,Marseille,fr Ligue 1,27,1989,5.6,6,6,5,1,0,4,7,57.1,3,23,8,34.8,17,6,0,6,3,0,3,2,8,8,1,Matches
6,Aly Abeid\bbe88396,mr MTN,DF,Levante,es La Liga,19,1997,0.9,3,1,1,2,0,1,1,100.0,0,9,4,44.4,7,2,0,2,0,0,2,1,4,2,0,Matches
7,Mehdi Abeid\a4c3f7af,dz ALG,MF,Dijon,fr Ligue 1,24,1992,13.1,21,14,11,9,1,4,23,17.4,19,206,68,33.0,63,120,23,23,4,0,19,15,36,14,0,Matches
8,David Abraham\565bf0da,ar ARG,DF,Eint Frankfurt,de Bundesliga,31,1986,25.6,43,28,31,11,1,24,41,58.5,17,221,74,33.5,148,66,7,39,16,0,23,23,66,130,1,Matches
9,Tammy Abraham\f586779e,eng ENG,FW,Swansea City,eng Premier League,19,1997,19.2,14,6,2,8,4,2,12,16.7,10,251,72,28.7,15,114,122,9,1,0,8,5,19,10,0,Matches
10,Amir Abrashi\1c08a3c8,al ALB,MF,Freiburg,de Bundesliga,27,1990,9.4,37,26,14,22,1,11,21,52.4,10,215,57,26.5,71,118,26,20,5,0,15,11,48,19,2,Matches
11,Francesco Acerbi\b96b595c,it ITA,DF,Sassuolo,it Serie A,29,1988,38.0,55,34,33,18,4,17,33,51.5,16,328,111,33.8,187,113,28,73,26,0,47,47,102,225,2,Matches
12,Afriyie Acquah\d7403bd5,gh GHA,MF,Torino,it Serie A,25,1992,10.6,11,7,2,7,2,1,12,8.3,11,161,32,19.9,44,100,17,10,1,0,9,10,21,7,1,Matches
13,Charlie Adam\aff418dc,sct SCO,MF,Stoke City,eng Premier League,31,1985,4.6,10,6,2,7,1,5,13,38.5,8,82,20,24.4,27,44,11,8,1,0,7,6,16,12,0,Matches
14,Antonio Adán\65d62814,es ESP,GK,Betis,es La Liga,30,1987,30.0,0,0,0,0,0,0,2,0.0,2,1,1,100.0,1,0,0,1,0,0,1,0,0,2,1,Matches
15,Aday\5890cef1,es ESP,MFDF,Girona,es La Liga,29,1987,20.4,15,6,11,2,2,6,20,30.0,14,271,64,23.6,108,103,60,39,5,1,34,21,36,23,2,Matches
16,Khaled Adénon\16714a62,bj BEN,DF,Amiens,fr Ligue 1,32,1985,32.5,41,27,27,13,1,9,32,28.1,23,209,78,37.3,148,58,3,50,24,0,26,50,91,166,3,Matches
17,Claud Adjapong\ce5b170a,it ITA,DFMF,Sassuolo,it Serie A,19,1998,13.6,29,19,16,8,5,6,10,60.0,4,278,79,28.4,125,102,51,31,3,0,28,11,40,30,0,Matches
18,René Adler\f71890f5,de GER,GK,Mainz 05,de Bundesliga,32,1985,14.0,0,0,0,0,0,0,0,,0,2,0,0.0,2,0,0,0,0,0,0,0,0,4,0,Matches
19,Ali Adnan Kadhim\06050480,iq IRQ,DFMF,Udinese,it Serie A,23,1993,18.6,57,23,38,16,3,29,54,53.7,25,259,72,27.8,156,75,28,41,7,0,34,31,88,72,0,Matches
20,Adrián\f76e6b4e,es ESP,GK,West Ham,eng Premier League,30,1987,19.0,0,0,0,0,0,0,2,0.0,2,5,0,0.0,5,0,0,0,0,0,0,0,0,1,0,Matches
