Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def,Matches
1,Patrick van Aanholt\5f09991f,nl NED,DF,Crystal Palace,eng Premier League,26,1990,24.3,41,1.69,22,11,5,1,1,1,3,0.12,2,0,1,0,0,0,Matches
2,Rolando Aarons\c5942695,eng ENG,FWMF,Newcastle Utd,eng Premier League,21,1995,1.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
3,Rolando Aarons\c5942695,eng ENG,MFFW,Hellas Verona,it Serie A,21,1995,5.7,3,0.52,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
4,Ignazio Abate\1c529186,it ITA,DF,Milan,it Serie A,30,1986,11.7,26,2.21,22,2,0,2,0,0,4,0.34,3,0,0,1,0,0,Matches
5,Aymen Abdennour\2f798b41,tn TUN,DF,Marseille,fr Ligue 1,27,1989,5.6,1,0.18,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
6,Aly Abeid\bbe88396,mr MTN,DF,Levante,es La Liga,19,1997,0.9,3,3.51,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
7,Mehdi Abeid\a4c3f7af,dz ALG,MF,Dijon,fr Ligue 1,24,1992,13.1,15,1.15,11,1,0,2,0,1,1,0.08,1,0,0,0,0,0,Matches
8,David Abraham\565bf0da,ar ARG,DF,Eint Frankfurt,de Bundesliga,31,1986,25.6,16,0.63,12,1,0,3,0,0,2,0.08,1,0,0,1,0,0,Matches
9,Tammy Abraham\f586779e,eng ENG,FW,Swansea City,eng Premier League,19,1997,19.2,35,1.83,17,0,11,3,3,1,2,0.10,1,0,0,1,0,0,Matches
10,Amir Abrashi\1c08a3c8,al ALB,MF,Freiburg,de Bundesliga,27,1990,9.4,12,1.27,10,0,0,0,2,0,1,0.11,1,0,0,0,0,0,Matches
