Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att,Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches
1,Antonio Adán\65d62814,es ESP,GK,Betis,es La Liga,30,1987,30.0,53,3,0,6,4,38.5,0.28,-10.5,-0.35,177,459,38.6,905,95,41.1,36.3,130,66.9,48.8,289,30,10.4,18,0.60,14.7,Matches
2,René Adler\f71890f5,de GER,GK,Mainz 05,de Bundesliga,32,1985,14.0,18,1,0,5,0,18.5,0.36,+0.5,+0.03,84,218,38.5,296,40,48.0,40.7,90,84.4,61.3,130,9,6.9,12,0.86,15.9,Matches
3,Adrián\f76e6b4e,es ESP,GK,West Ham,eng Premier League,30,1987,19.0,29,1,1,8,1,27.3,0.28,-0.7,-0.04,159,470,33.8,387,47,78.0,54.1,186,90.3,61.9,197,12,6.1,14,0.74,13.9,Matches
4,Alisson\7a2e46a8,br BRA,GK,Roma,it Serie A,24,1992,37.0,28,3,0,2,0,38.8,0.26,+10.8,+0.29,245,443,55.3,994,198,35.7,35.2,181,48.6,45.3,306,25,8.2,49,1.32,17.5,Matches
5,Sergio Álvarez\8875b8c9,es ESP,GK,Celta Vigo,es La Liga,30,1986,16.4,29,1,0,4,1,26.5,0.34,-1.5,-0.09,96,255,37.6,435,32,43.2,37.6,83,80.7,58.0,143,15,10.5,12,0.73,14.5,Matches
6,Jon Ander Serantes\983ccabe,es ESP,GK,Leganés,es La Liga,27,1989,1.0,2,0,0,0,0,2.5,0.28,+0.5,+0.53,5,24,20.8,21,1,85.7,61.5,6,100.0,77.5,9,2,22.2,0,0.00,15.5,Matches
7,Nícolas Andrade\326d09ef,br BRA,GK,Hellas Verona,it Serie A,29,1988,36.0,71,6,4,9,2,75.2,0.30,+6.2,+0.17,371,904,41.0,995,222,59.2,44.5,362,87.0,59.9,466,48,10.3,22,0.61,13.9,Matches
8,Miguel Ángel Moyá\011d8c56,es ESP,GK,Real Sociedad,es La Liga,33,1984,8.5,8,2,0,2,0,9.8,0.25,+1.8,+0.21,69,131,52.7,241,10,46.5,38.9,31,61.3,44.8,88,12,13.6,7,0.82,16.4,Matches
9,Alphonse Areola\2f965a72,fr FRA,GK,Paris S-G,fr Ligue 1,24,1993,34.0,25,1,2,6,0,26.0,0.23,+1.0,+0.03,48,95,50.5,504,90,13.9,24.3,80,31.3,34.4,299,24,8.0,31,0.91,16.8,Matches
10,Kepa Arrizabalaga\28d596a0,es ESP,GK,Athletic Club,es La Liga,22,1994,30.0,43,1,3,5,3,42.9,0.30,+2.9,+0.10,280,587,47.7,728,67,64.0,46.9,134,90.3,64.1,271,24,8.9,14,0.47,15.3,Matches
11,Sergio Asenjo\9f0ea33f,es ESP,GK,Villarreal,es La Liga,28,1989,23.0,30,3,1,3,0,32.5,0.32,+2.5,+0.11,102,282,36.2,360,86,52.2,41.5,109,86.2,61.3,284,24,8.5,16,0.70,14.3,Matches
12,Mariano Barbosa\aad4f74f,ar ARG,GK,Villarreal,es La Liga,33,1984,12.5,14,1,0,2,0,13.6,0.27,-0.4,-0.03,35,123,28.5,190,40,34.7,34.7,63,90.5,62.4,150,15,10.0,3,0.24,13.7,Matches
13,Oliver Baumann\47064058,de GER,GK,Hoffenheim,de Bundesliga,27,1990,34.0,48,3,1,9,3,41.2,0.27,-3.8,-0.11,219,620,35.3,1175,174,40.8,35.9,230,61.3,48.7,311,20,6.4,37,1.09,15.6,Matches
14,Asmir Begović\7b4de647,ba BIH,GK,Bournemouth,eng Premier League,30,1987,38.0,61,2,2,8,1,57.5,0.33,-2.5,-0.07,233,668,34.9,823,227,48.8,41.5,329,80.9,58.5,389,35,9.0,8,0.21,13.2,Matches
15,Vid Belec\4f8ce0e1,si SVN,GK,Sampdoria,it Serie A,27,1990,2.0,5,1,0,1,0,5.6,0.31,+0.6,+0.28,9,24,37.5,70,11,27.1,26.6,16,31.3,36.2,21,2,9.5,3,1.50,13.3,Matches
16,Vid Belec\4f8ce0e1,si SVN,GK,Benevento,it Serie A,27,1990,12.4,32,3,1,1,2,24.3,0.31,-0.7,-0.06,63,183,34.4,259,68,48.6,40.4,102,55.9,46.5,133,10,7.5,5,0.40,12.2,Matches
17,Diego Benaglio\b7e7937d,ch SUI,GK,Monaco,fr Ligue 1,33,1983,2.5,0,0,0,0,0,1.5,0.24,+1.5,+0.59,9,22,40.9,35,9,40.0,33.7,12,66.7,53.8,25,1,4.0,2,0.80,14.7,Matches
18,Walter Benítez\8a2248b4,ar ARG,GK,Nice,fr Ligue 1,24,1993,28.0,36,3,1,0,2,35.5,0.28,+1.5,+0.05,64,201,31.8,394,84,26.6,30.3,127,75.6,54.4,320,17,5.3,6,0.21,13.0,Matches
19,Etrit Berisha\ee833569,al ALB,GK,Atalanta,it Serie A,28,1989,31.0,34,1,2,2,0,27.3,0.26,-6.7,-0.22,196,438,44.7,587,156,42.9,37.8,214,86.9,58.9,249,14,5.6,15,0.48,14.3,Matches
20,Quentin Beunardeau\15285503,fr FRA,GK,Metz,fr Ligue 1,23,1994,0.4,2,0,0,0,0,1.7,0.43,-0.3,-0.68,6,16,37.5,16,2,87.5,50.7,2,100.0,71.5,6,0,0.0,0,0.00,13.0,Matches
21,Albano Bizzarri\32b9b5fa,ar ARG,GK,Udinese,it Serie A,39,1977,32.0,52,2,1,9,4,42.0,0.29,-6.0,-0.19,262,612,42.8,774,135,52.5,41.1,271,76.0,53.2,306,26,8.5,13,0.41,13.0,Matches
22,Rubén Blanco\967f34d3,es ESP,GK,Celta Vigo,es La Liga,22,1995,21.6,31,3,0,4,0,25.5,0.26,-5.5,-0.26,112,357,31.4,602,57,48.0,41.2,82,82.9,62.4,231,28,12.1,7,0.32,14.9,Matches
23,Landry Bonnefoi\e65dd8dc,fr FRA,GK,Strasbourg,fr Ligue 1,33,1983,3.0,6,0,0,1,0,5.5,0.33,-0.5,-0.16,17,42,40.5,39,8,59.0,43.1,26,73.1,50.9,33,0,0.0,0,0.00,10.5,Matches
24,Jean-Christophe Bouet\96908f80,fr FRA,GK,Amiens,fr Ligue 1,34,1983,1.0,1,0,0,0,0,1.1,0.19,+0.1,+0.14,2,15,13.3,12,2,58.3,48.8,8,100.0,62.6,11,3,27.3,0,0.00,18.0,Matches
25,Yassine Bounou\f6798fc3,ma MAR,GK,Girona,es La Liga,26,1991,29.5,46,4,2,1,1,40.4,0.28,-4.6,-0.16,177,485,36.5,507,62,67.9,48.9,153,92.2,66.3,259,20,7.7,10,0.34,13.0,Matches
26,Claudio Bravo\10072610,cl CHI,GK,Manchester City,eng Premier League,34,1983,2.5,1,0,0,0,0,1.4,0.28,+0.4,+0.17,9,15,60.0,63,13,15.9,27.4,10,50.0,39.1,10,0,0.0,3,1.20,16.5,Matches
27,Alberto Brignoli\6989550f,it ITA,GK,Benevento,it Serie A,25,1991,12.5,31,2,0,6,0,29.0,0.40,-2.0,-0.16,92,266,34.6,374,61,51.3,43.2,103,71.8,56.1,144,25,17.4,16,1.28,17.0,Matches
28,Gianluigi Buffon\e40d028b,it ITA,GK,Juventus,it Serie A,39,1978,20.7,14,3,0,2,2,15.7,0.22,+3.7,+0.18,87,187,46.5,431,71,32.5,34.2,101,46.5,40.2,167,12,7.2,14,0.68,14.5,Matches
29,Roman Bürki\9d12e142,ch SUI,GK,Dortmund,de Bundesliga,26,1990,33.0,43,2,1,3,0,48.2,0.33,+5.2,+0.16,184,517,35.6,1027,169,35.7,36.1,219,68.5,55.2,268,27,10.1,38,1.15,17.5,Matches
30,Ludovic Butelle\26975a92,fr FRA,GK,Angers,fr Ligue 1,34,1983,18.4,22,3,1,1,1,20.5,0.26,-0.5,-0.03,63,228,27.6,303,63,48.8,40.4,89,89.9,60.6,175,21,12.0,23,1.25,17.5,Matches
31,Jack Butland\cc70a1d5,eng ENG,GK,Stoke City,eng Premier League,24,1993,35.0,61,5,0,11,2,59.4,0.28,+0.4,+0.01,404,1005,40.2,931,94,74.5,54.3,338,92.0,67.8,375,31,8.3,24,0.69,14.0,Matches
32,Willy Caballero\a179d516,ar ARG,GK,Chelsea,eng Premier League,35,1981,3.0,4,0,0,0,0,4.3,0.39,+0.3,+0.12,17,38,44.7,84,12,32.1,31.4,15,73.3,54.7,24,1,4.2,5,1.67,23.1,Matches
33,Yoan Cardinale\950ff24d,fr FRA,GK,Nice,fr Ligue 1,23,1994,10.0,16,0,1,1,1,13.5,0.31,-1.5,-0.15,33,71,46.5,158,26,22.8,27.0,42,83.3,57.6,95,3,3.2,3,0.30,14.3,Matches
34,Kiko Casilla\58bc7d18,es ESP,GK,Real Madrid,es La Liga,30,1986,10.0,11,0,0,1,1,10.4,0.36,+0.4,+0.04,27,69,39.1,159,33,30.8,33.8,34,58.8,45.6,80,6,7.5,5,0.50,14.9,Matches
35,Koen Casteels\db401046,be BEL,GK,Wolfsburg,de Bundesliga,25,1992,34.0,48,6,1,5,2,51.3,0.31,+5.3,+0.16,269,704,38.2,1026,198,49.9,41.1,270,71.1,55.1,298,35,11.7,22,0.65,13.6,Matches
36,Petr Čech\71672fa0,cz CZE,GK,Arsenal,eng Premier League,35,1982,33.8,48,5,0,8,0,49.6,0.35,+1.6,+0.05,178,464,38.4,815,217,39.9,38.2,223,62.3,51.6,293,31,10.6,26,0.77,15.0,Matches
37,Nereo Champagne\7a9fae62,ar ARG,GK,Leganés,es La Liga,32,1985,2.0,6,1,1,0,0,4.1,0.36,-1.9,-0.97,19,43,44.2,37,4,75.7,48.1,15,100.0,63.8,15,0,0.0,1,0.50,14.9,Matches
38,Leandro Chichizola\8d957256,ar ARG,GK,Las Palmas,es La Liga,27,1990,27.0,47,3,1,5,1,46.2,0.29,+0.2,+0.01,154,416,37.0,798,128,41.5,37.0,131,64.9,53.0,225,31,13.8,35,1.30,16.1,Matches
39,Jasper Cillessen\04ac8285,nl NED,GK,Barcelona,es La Liga,28,1989,1.0,1,0,0,0,0,1.3,0.18,+0.3,+0.26,2,9,22.2,18,4,33.3,30.1,9,33.3,40.8,7,1,14.3,0,0.00,15.0,Matches
