Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
1,Patrick van Aanholt\5f09991f,nl NED,DF,Crystal Palace,eng Premier League,26,1990,28,25,2184,24.3,5,1,5,0,0,7,0,0.21,0.04,0.25,0.21,0.25,3.4,3.4,1.8,5.2,0.14,0.07,0.21,0.14,0.21,Matches
2,Rolando Aarons\c5942695,eng ENG,MFFW,Hellas Verona,it Serie A,21,1995,11,6,517,5.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.2,0.5,0.04,0.04,0.08,0.04,0.08,Matches
3,Rolando Aarons\c5942695,eng ENG,FWMF,Newcastle Utd,eng Premier League,21,1995,4,1,139,1.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.2,0.10,0.00,0.10,0.10,0.10,Matches
4,Ignazio Abate\1c529186,it ITA,DF,Milan,it Serie A,30,1986,17,11,1057,11.7,1,0,1,0,0,3,0,0.09,0.00,0.09,0.09,0.09,0.3,0.3,0.6,0.9,0.02,0.05,0.07,0.02,0.07,Matches
5,Aymen Abdennour\2f798b41,tn TUN,DF,Marseille,fr Ligue 1,27,1989,8,6,500,5.6,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.02,0.00,0.02,0.02,0.02,Matches
6,Aly Abeid\bbe88396,mr MTN,DF,Levante,es La Liga,19,1997,1,1,77,0.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.2,0.2,0.00,0.20,0.20,0.00,0.20,Matches
7,Mehdi Abeid\a4c3f7af,dz ALG,MF,Dijon,fr Ligue 1,24,1992,19,14,1176,13.1,0,1,0,0,0,2,0,0.00,0.08,0.08,0.00,0.08,1.0,1.0,0.2,1.2,0.08,0.02,0.09,0.08,0.09,Matches
8,David Abraham\565bf0da,ar ARG,DF,Eint Frankfurt,de Bundesliga,31,1986,27,27,2302,25.6,0,2,0,0,0,3,0,0.00,0.08,0.08,0.00,0.08,0.5,0.5,0.4,0.8,0.02,0.01,0.03,0.02,0.03,Matches
9,Tammy Abraham\f586779e,eng ENG,FW,Swansea City,eng Premier League,19,1997,31,15,1726,19.2,5,1,5,0,0,0,0,0.26,0.05,0.31,0.26,0.31,6.7,6.7,1.0,7.7,0.35,0.05,0.40,0.35,0.40,Matches
10,Amir Abrashi\1c08a3c8,al ALB,MF,Freiburg,de Bundesliga,27,1990,12,11,850,9.4,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.5,0.7,0.02,0.06,0.08,0.02,0.08,Matches
11,Francesco Acerbi\b96b595c,it ITA,DF,Sassuolo,it Serie A,29,1988,38,38,3420,38.0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,1.5,1.5,0.8,2.4,0.04,0.02,0.06,0.04,0.06,Matches
12,Afriyie Acquah\d7403bd5,gh GHA,MF,Torino,it Serie A,25,1992,22,9,951,10.6,1,0,1,0,0,4,2,0.09,0.00,0.09,0.09,0.09,0.6,0.6,0.1,0.7,0.06,0.01,0.07,0.06,0.07,Matches
13,Charlie Adam\aff418dc,sct SCO,MF,Stoke City,eng Premier League,31,1985,11,5,411,4.6,0,0,0,0,1,2,1,0.00,0.00,0.00,0.00,0.00,1.2,0.4,1.1,1.5,0.26,0.24,0.50,0.10,0.33,Matches
14,Antonio Adán\65d62814,es ESP,GK,Betis,es La Liga,30,1987,30,30,2700,30.0,0,2,0,0,0,4,0,0.00,0.07,0.07,0.00,0.07,0.0,0.0,0.4,0.4,0.00,0.01,0.01,0.00,0.01,Matches
15,Aday\5890cef1,es ESP,MFDF,Girona,es La Liga,29,1987,31,20,1835,20.4,2,0,1,1,2,10,0,0.10,0.00,0.10,0.05,0.05,2.6,1.1,1.8,2.9,0.13,0.09,0.21,0.06,0.14,Matches
16,Khaled Adénon\16714a62,bj BEN,DF,Amiens,fr Ligue 1,32,1985,34,32,2921,32.5,0,1,0,0,0,9,0,0.00,0.03,0.03,0.00,0.03,0.5,0.5,0.3,0.8,0.02,0.01,0.03,0.02,0.03,Matches
17,Claud Adjapong\ce5b170a,it ITA,DFMF,Sassuolo,it Serie A,19,1998,16,14,1220,13.6,0,0,0,0,0,5,1,0.00,0.00,0.00,0.00,0.00,0.6,0.6,0.7,1.3,0.05,0.05,0.10,0.05,0.10,Matches
18,René Adler\f71890f5,de GER,GK,Mainz 05,de Bundesliga,32,1985,14,14,1260,14.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.4,0.4,0.00,0.03,0.03,0.00,0.03,Matches
19,Ali Adnan Kadhim\06050480,iq IRQ,DFMF,Udinese,it Serie A,23,1993,23,18,1674,18.6,0,1,0,0,0,4,0,0.00,0.05,0.05,0.00,0.05,0.4,0.4,1.7,2.1,0.02,0.09,0.12,0.02,0.12,Matches
20,Adrián\f76e6b4e,es ESP,GK,West Ham,eng Premier League,30,1987,19,19,1710,19.0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
21,Aritz Aduriz\293211e1,es ESP,FW,Athletic Club,es La Liga,36,1981,33,21,2152,23.9,9,1,6,3,5,5,0,0.38,0.04,0.42,0.25,0.29,10.6,7.1,1.1,8.1,0.44,0.04,0.49,0.29,0.34,Matches
22,Ibrahim Afellay\9a8c6673,nl NED,MF,Stoke City,eng Premier League,31,1986,6,1,166,1.8,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
23,Benik Afobe\b63f4077,cd COD,FWMF,Bournemouth,eng Premier League,24,1993,17,5,611,6.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,1.2,1.2,0.1,1.3,0.21,0.01,0.22,0.21,0.22,Matches
