Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
1,Ismael Aaneba\a7e4760c,fr FRA,DF,Strasbourg,fr Ligue 1,19,1999,3,204,68,6.0,2.3,3,68,1,0,,7,0.33,0,2,-2,-0.88,-1.22,1.6,2.9,-1.3,-0.58,-0.40,Matches
2,Patrick van Aanholt\5f09991f,nl NED,DF,Crystal Palace,eng Premier League,27,1990,36,3195,89,93.4,35.5,36,89,33,0,,2,1.19,44,47,-3,-0.08,-0.48,46.2,44.3,+1.9,+0.05,-0.28,Matches
3,Ignazio Abate\1c529186,it ITA,DF,Milan,it Serie A,31,1986,19,1302,69,38.1,14.5,15,82,8,4,17,19,2.11,22,12,+10,+0.69,+0.31,20.2,14.3,+6.0,+0.41,+0.32,Matches
4,Issah Abbas\2590ddf7,gh GHA,FW,Mainz 05,de Bundesliga,19,1998,1,9,9,0.3,0.1,0,,0,1,8,2,1.00,0,0,0,0.00,+0.32,0.0,0.2,-0.1,-1.21,-0.96,Matches
5,Yunis Abdelhamid\32c2d95f,ma MAR,DF,Reims,fr Ligue 1,30,1987,38,3420,90,100.0,38.0,38,90,38,0,,0,1.45,39,42,-3,-0.08,,40.6,44.9,-4.3,-0.11,,Matches
6,Aymen Abdennour\2f798b41,tn TUN,DF,Marseille,fr Ligue 1,28,1989,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
7,Mehdi Abeid\a4c3f7af,dz ALG,MF,Dijon,fr Ligue 1,25,1992,26,2023,78,59.2,22.5,23,84,16,3,27,1,0.81,18,30,-12,-0.53,+0.56,22.2,34.7,-12.4,-0.55,+0.03,Matches
8,Charles Abi\469d3d84,fr FRA,MFFW,Saint-Étienne,fr Ligue 1,18,2000,3,32,11,0.9,0.4,0,,0,3,10,4,1.67,0,0,0,0.00,-0.48,0.9,1.5,-0.6,-1.76,-1.92,Matches
9,David Abraham\565bf0da,ar ARG,DF,Eint Frankfurt,de Bundesliga,32,1986,17,1420,84,46.4,15.8,17,84,15,0,,3,1.35,28,29,-1,-0.06,-0.78,24.8,25.9,-1.1,-0.07,-0.40,Matches
10,Amir Abrashi\1c08a3c8,al ALB,MF,Freiburg,de Bundesliga,28,1990,10,790,79,25.8,8.8,9,85,7,1,22,2,1.20,10,15,-5,-0.57,-0.17,8.6,12.9,-4.2,-0.48,-0.12,Matches
11,Francesco Acerbi\b96b595c,it ITA,DF,Lazio,it Serie A,30,1988,37,3309,89,96.8,36.8,37,89,36,0,,0,1.59,55,44,+11,+0.30,+1.11,55.0,41.4,+13.6,+0.37,+0.24,Matches
12,Afriyie Acquah\d7403bd5,gh GHA,MF,Empoli,it Serie A,26,1992,28,1510,54,44.2,16.8,19,73,5,9,14,6,1.11,20,29,-9,-0.54,-0.07,19.2,23.6,-4.5,-0.27,-0.06,Matches
13,Tyler Adams\2b09d998,us USA,MF,RB Leipzig,de Bundesliga,19,1999,10,721,72,23.6,8.0,8,85,6,2,23,1,2.10,18,2,+16,+2.00,+1.30,16.0,6.1,+9.9,+1.23,+0.62,Matches
14,Antonio Adán\65d62814,es ESP,GK,Atlético Madrid,es La Liga,31,1987,1,90,90,2.6,1.0,1,90,1,0,,35,2.00,5,4,+1,+1.00,+0.32,1.6,2.4,-0.9,-0.87,-1.09,Matches
15,Aday\5890cef1,es ESP,DFMF,Girona,es La Liga,30,1987,10,645,65,18.9,7.2,8,76,4,2,18,0,1.20,10,10,0,0.00,+0.52,7.1,9.9,-2.7,-0.38,-0.08,Matches
16,Khaled Adénon\16714a62,bj BEN,DF,Amiens,fr Ligue 1,33,1985,23,1994,87,58.3,22.2,22,89,20,1,45,10,0.91,16,32,-16,-0.72,-0.41,19.1,26.6,-7.5,-0.34,-0.07,Matches
17,Claud Adjapong\ce5b170a,it ITA,MFDF,Sassuolo,it Serie A,20,1998,5,270,54,7.9,3.0,3,81,1,2,14,21,1.40,3,2,+1,+0.33,+0.56,2.1,3.8,-1.7,-0.57,-0.31,Matches
18,Yacine Adli\26777636,fr FRA,MFFW,Bordeaux,fr Ligue 1,18,2000,7,216,31,6.3,2.4,2,73,0,5,14,3,0.57,0,2,-2,-0.83,-0.66,1.8,2.6,-0.8,-0.33,+0.01,Matches
19,Ali Adnan Kadhim\06050480,iq IRQ,MFDF,Atalanta,it Serie A,24,1993,3,166,55,4.9,1.8,2,76,1,1,14,13,0.33,3,5,-2,-1.08,-2.00,3.2,2.4,+0.8,+0.46,-0.23,Matches
20,Amir Adouyev\e621fe01,ru RUS,MF,Montpellier,fr Ligue 1,19,1999,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
21,Adrián\f76e6b4e,es ESP,GK,West Ham,eng Premier League,31,1987,0,,,,,0,,0,0,,38,,,,,,,,,,,,Matches
22,Aritz Aduriz\293211e1,es ESP,FW,Athletic Club,es La Liga,37,1981,20,943,47,27.6,10.5,10,80,4,10,14,3,1.15,6,13,-7,-0.67,-0.78,10.6,13.3,-2.7,-0.26,-0.22,Matches
23,Luis Advíncula\cacadf4f,pe PER,DF,Rayo Vallecano,es La Liga,28,1990,28,2389,85,69.9,26.5,27,88,24,1,14,6,0.86,33,48,-15,-0.57,+0.66,30.1,40.1,-10.1,-0.38,-0.06,Matches
24,Martin Agirregabiria\355c883a,es ESP,DF,Alavés,es La Liga,22,1996,27,2032,75,59.4,22.6,23,88,18,4,5,4,1.37,24,30,-6,-0.27,+0.06,23.9,31.4,-7.5,-0.33,+0.07,Matches
25,Nayef Aguerd\288e1e13,ma MAR,DF,Dijon,fr Ligue 1,22,1996,13,1050,81,30.7,11.7,12,87,10,1,2,7,0.85,11,17,-6,-0.51,+0.36,10.3,17.4,-7.1,-0.61,-0.06,Matches
26,Sergio Agüero\4d034881,ar ARG,FW,Manchester City,eng Premier League,30,1988,33,2459,75,71.9,27.3,31,78,8,2,27,1,2.61,72,15,+57,+2.09,+0.68,59.9,18.7,+41.2,+1.51,+0.06,Matches
27,Ruben Aguilar\3dd738a1,fr FRA,DFMF,Montpellier,fr Ligue 1,25,1993,29,2528,87,73.9,28.1,29,87,26,0,,0,1.52,39,30,+9,+0.32,+0.12,34.8,32.8,+2.0,+0.07,+0.07,Matches
28,Juan Aguilera\18dc8533,es ESP,MF,Huesca,es La Liga,32,1985,6,344,57,10.1,3.8,4,64,1,2,45,20,0.17,1,5,-4,-1.05,-0.52,3.5,5.2,-1.7,-0.44,-0.17,Matches
29,Emmanuel Agyemang-Badu\fe0b8f0e,gh GHA,MF,Udinese,it Serie A,27,1990,4,161,40,4.7,1.8,2,69,0,2,12,7,1.50,2,5,-3,-1.68,-1.37,1.8,4.6,-2.8,-1.55,-1.18,Matches
30,Jean-Eudes Aholou\48b28bfd,ci CIV,MF,Monaco,fr Ligue 1,24,1994,17,1075,63,31.4,11.9,12,77,7,5,30,5,1.00,10,13,-3,-0.25,+0.36,15.4,12.6,+2.7,+0.23,+0.28,Matches
