Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Prog,1/3,CPA,Mis,Dis,Targ,Rec,Rec%,Prog,Matches
1,Patrick van Aanholt\5f09991f,nl NED,DF,Crystal Palace,eng Premier League,28,1990,27.9,1839,97,531,883,531,50,1458,18,36,50.0,18,2,1000,5308,2935,158,46,12,21,16,1079,994,92.1,55,Matches
2,Max Aarons\774cf58b,eng ENG,DF,Norwich City,eng Premier League,19,2000,36.0,2133,178,804,902,594,52,1821,49,94,52.1,55,2,1321,7912,4384,204,56,23,39,48,1399,1244,88.9,67,Matches
3,Yunis Abdelhamid\32c2d95f,ma MAR,DF,Reims,fr Ligue 1,31,1987,28.0,1856,256,1131,800,61,27,1782,21,26,80.8,21,0,1201,7284,4030,57,9,0,12,8,1266,1236,97.6,26,Matches
4,Suleiman Abdullahi\abf0cad0,ng NGA,FWMF,Union Berlin,de Bundesliga,22,1996,1.7,62,1,9,22,33,10,62,2,4,50.0,3,1,37,169,91,5,1,2,6,2,77,39,50.6,11,Matches
5,Mehdi Abeid\a4c3f7af,dz ALG,MF,Nantes,fr Ligue 1,26,1992,20.2,1176,22,211,753,283,20,1091,12,22,54.5,12,0,782,3972,1965,71,21,2,14,26,854,759,88.9,42,Matches
6,Charles Abi\469d3d84,fr FRA,FW,Saint-Étienne,fr Ligue 1,19,2000,6.9,208,7,18,108,95,23,196,16,21,76.2,16,0,136,574,279,14,0,4,25,12,309,142,46.0,55,Matches
7,David Abraham\565bf0da,ar ARG,DF,Eint Frankfurt,de Bundesliga,33,1986,18.8,1073,108,482,588,87,11,1022,9,11,81.8,11,1,662,3916,2242,73,21,1,6,2,639,619,96.9,9,Matches
8,Tammy Abraham\f586779e,eng ENG,FW,Chelsea,eng Premier League,21,1997,24.6,739,31,59,354,352,165,688,21,36,58.3,22,0,427,1627,826,51,12,14,71,47,1076,495,46.0,226,Matches
9,Amir Abrashi\1c08a3c8,al ALB,MF,Freiburg,de Bundesliga,29,1990,7.4,438,21,141,256,64,3,423,7,10,70.0,7,0,291,1344,504,18,7,1,8,8,288,261,90.6,10,Matches
10,Francesco Acerbi\b96b595c,it ITA,DF,Lazio,it Serie A,31,1988,35.1,2365,370,1206,1158,202,34,2287,15,17,88.2,15,0,1559,11372,6125,161,32,0,8,7,1641,1600,97.5,31,Matches
11,Che Adams\f2bf1b0f,sct SCO,FW,Southampton,eng Premier League,23,1996,12.3,441,10,35,204,235,68,433,15,27,55.6,15,1,308,1348,640,37,15,11,44,29,657,315,47.9,146,Matches
12,Tyler Adams\2b09d998,us USA,MFDF,RB Leipzig,de Bundesliga,20,1999,10.6,813,20,206,453,196,13,737,6,11,54.5,6,0,501,2365,1076,41,10,1,9,13,602,554,92.0,31,Matches
13,Sargis Adamyan\22919e97,am ARM,FWMF,Hoffenheim,de Bundesliga,26,1993,8.3,309,7,29,134,164,46,297,11,24,45.8,13,0,206,1165,603,28,7,8,25,20,404,212,52.5,93,Matches
14,Antonio Adán\65d62814,es ESP,GK,Atlético Madrid,es La Liga,32,1987,0.3,7,4,6,1,0,0,6,0,0,,0,0,2,5,5,0,0,0,0,0,1,1,100.0,0,Matches
15,Bobby Adekanye\3ed84b2c,nl NED,FW,Lazio,it Serie A,20,1999,2.1,70,0,9,35,30,13,68,4,4,100.0,4,0,54,352,202,9,2,6,5,4,82,50,61.0,17,Matches
16,Claud Adjapong\ce5b170a,it ITA,DF,Hellas Verona,it Serie A,21,1998,2.6,112,14,35,52,37,7,98,1,3,33.3,2,0,66,322,145,6,1,1,5,1,76,63,82.9,12,Matches
17,Amine Adli\dcfb17f4,fr FRA,MFFW,Toulouse,fr Ligue 1,19,2000,0.5,33,0,3,20,14,1,28,3,4,75.0,3,0,25,176,107,6,0,0,3,1,26,23,88.5,2,Matches
18,Yacine Adli\26777636,fr FRA,MFFW,Bordeaux,fr Ligue 1,19,2000,11.3,735,13,73,512,210,13,695,24,42,57.1,28,3,554,2685,1602,91,34,3,27,32,612,549,89.7,58,Matches
19,Adrián\f76e6b4e,es ESP,GK,Liverpool,eng Premier League,32,1987,9.7,338,301,338,0,0,0,244,0,0,,0,0,163,641,355,0,0,0,0,0,155,154,99.4,0,Matches
20,Aritz Aduriz\293211e1,es ESP,FW,Athletic Club,es La Liga,38,1981,2.3,82,2,7,39,39,11,81,2,2,100.0,2,0,33,115,31,1,1,0,4,2,117,64,54.7,22,Matches
21,Lumor Agbenyenu\073b1b37,gh GHA,DF,Mallorca,es La Liga,22,1996,20.1,1182,82,387,538,332,14,964,26,45,57.8,30,0,701,4232,2216,101,34,5,22,18,665,599,90.1,22,Matches
22,Martin Agirregabiria\355c883a,es ESP,DF,Alavés,es La Liga,23,1996,23.3,1231,83,395,675,223,9,986,14,26,53.8,16,3,636,2937,1695,63,17,2,20,17,677,608,89.8,21,Matches
23,Lucien Agoume\8bc8829a,fr FRA,MF,Inter,it Serie A,17,2002,0.8,48,1,12,25,12,0,48,0,0,,0,0,32,137,49,1,0,0,0,2,31,29,93.5,3,Matches
24,Kevin Agudelo\46fa7204,co COL,MFFW,Fiorentina,it Serie A,20,1998,0.7,47,0,9,22,20,2,47,2,2,100.0,2,0,33,205,105,7,1,1,0,2,40,32,80.0,8,Matches
25,Kevin Agudelo\46fa7204,co COL,MFFW,Genoa,it Serie A,20,1998,7.4,402,6,82,217,147,20,396,21,33,63.6,23,0,326,2257,1464,61,18,7,12,13,348,285,81.9,28,Matches
26,Nayef Aguerd\288e1e13,ma MAR,DF,Dijon,fr Ligue 1,23,1996,10.6,717,94,449,291,13,7,700,1,2,50.0,1,0,453,2046,1040,11,1,0,3,5,477,469,98.3,3,Matches
27,Sergio Agüero\4d034881,ar ARG,FW,Manchester City,eng Premier League,31,1988,16.1,572,2,21,210,383,154,551,27,45,60.0,28,2,428,1758,891,65,20,16,24,41,780,450,57.7,174,Matches
28,Ruben Aguilar\3dd738a1,fr FRA,DF,Monaco,fr Ligue 1,26,1993,11.9,926,35,225,465,292,22,816,15,26,57.7,17,0,624,2837,1709,84,21,3,8,15,649,601,92.6,39,Matches
29,Emmanuel Agyemang-Badu\fe0b8f0e,gh GHA,MFFW,Hellas Verona,it Serie A,28,1990,2.6,129,9,32,85,26,1,128,0,1,0.0,0,0,95,577,229,11,4,0,4,3,116,90,77.6,3,Matches
30,Jean-Eudes Aholou\48b28bfd,ci CIV,MF,Saint-Étienne,fr Ligue 1,25,1994,7.0,409,15,87,277,70,12,405,10,13,76.9,12,0,277,1320,632,33,7,0,13,10,306,269,87.9,23,Matches
31,Joseph Aidoo\18abe173,gh GHA,DF,Celta Vigo,es La Liga,23,1995,27.8,1518,213,836,710,50,11,1475,11,15,73.3,12,0,962,5141,2228,58,10,0,5,8,954,934,97.9,10,Matches
32,Ola Aina\246d153b,ng NGA,DF,Torino,it Serie A,22,1996,23.1,1476,76,431,728,432,33,1243,56,94,59.6,59,1,922,5545,3398,150,48,6,20,27,937,855,91.2,52,Matches
33,Youssef Aït Bennasser\c46fa34c,ma MAR,MF,Bordeaux,fr Ligue 1,23,1996,6.0,473,12,81,365,47,1,466,6,12,50.0,7,0,340,1257,628,28,6,0,7,6,369,349,94.6,10,Matches
34,Rayan Aït Nouri\9b398aea,fr FRA,DF,Angers,fr Ligue 1,18,2001,14.2,996,40,310,491,269,16,846,19,41,46.3,22,2,617,3093,1915,89,31,4,20,20,609,565,92.8,29,Matches
35,Albian Ajeti\2b1c4abd,ch SUI,MFFW,West Ham,eng Premier League,22,1997,1.5,33,0,1,9,24,9,32,0,0,,0,0,16,42,8,0,0,0,5,3,64,24,37.5,12,Matches
36,Ludovic Ajorque\462475ed,re REU,FW,Strasbourg,fr Ligue 1,25,1994,22.9,755,22,52,415,315,110,731,14,27,51.9,15,1,404,1469,643,37,7,10,73,23,977,580,59.4,208,Matches
37,Manuel Akanji\89ac64a6,ch SUI,DF,Dortmund,de Bundesliga,24,1995,25.7,2161,235,1146,1087,82,15,2093,8,12,66.7,9,1,1589,8958,4601,110,15,0,10,6,1683,1657,98.5,19,Matches
38,Marley Aké\414e1f69,fr FRA,FWMF,Marseille,fr Ligue 1,18,2001,1.1,43,1,8,20,17,2,41,3,4,75.0,3,0,35,183,85,6,0,0,2,2,46,28,60.9,8,Matches
39,Nathan Aké\eaeca114,nl NED,DF,Bournemouth,eng Premier League,24,1995,27.8,1508,277,923,595,86,34,1455,5,5,100.0,5,0,845,5157,2869,47,8,0,7,5,948,900,94.9,24,Matches
40,Chadrac Akolo\debc2f28,cd COD,FWMF,Amiens,fr Ligue 1,24,1995,6.0,281,5,50,146,105,15,278,11,19,57.9,12,0,224,881,525,36,12,6,6,14,256,196,76.6,36,Matches
41,Kevin Akpoguma\6ec6fde0,ng NGA,DF,Hoffenheim,de Bundesliga,24,1995,12.7,908,147,527,407,31,1,882,3,4,75.0,3,0,622,2985,1655,36,10,0,3,11,637,619,97.2,3,Matches
42,David Alaba\05439de2,at AUT,DF,Bayern Munich,de Bundesliga,27,1992,27.8,2662,194,1068,1590,248,14,2555,6,10,60.0,7,0,2026,13822,7575,229,37,2,9,4,2099,2068,98.5,26,Matches
43,Sofiane Alakouch\5314e067,ma MAR,DF,Nîmes,fr Ligue 1,21,1998,15.6,992,43,309,470,282,25,802,20,34,58.8,20,2,540,2781,1782,56,19,7,14,12,558,509,91.2,19,Matches
44,Lucas Alario\834d0be5,ar ARG,FW,Leverkusen,de Bundesliga,26,1992,13.0,466,6,26,221,246,89,436,16,21,76.2,17,1,284,1046,297,17,5,7,36,21,655,349,53.3,167,Matches
