Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches
1,Julen Agirrezabala\a2c1a8d3,es ESP,GK,Athletic Club,es La Liga,20-337,2000,2,2,180,2.0,1,0.50,5,4,80.0,0,2,0,1,50.0,0,0,0,0,,Matches
2,Alisson\7a2e46a8,br BRA,GK,Liverpool,eng Premier League,29-057,1992,12,12,1080,12.0,11,0.92,39,28,71.8,7,4,1,7,58.3,0,0,0,0,,Matches
3,Kepa Arrizabalaga\28d596a0,es ESP,GK,Chelsea,eng Premier League,27-056,1994,1,1,90,1.0,0,0.00,2,2,100.0,1,0,0,1,100.0,0,0,0,0,,Matches
4,Sergio Asenjo\9f0ea33f,es ESP,GK,Villarreal,es La Liga,32-153,1989,2,2,180,2.0,4,2.00,7,3,42.9,1,1,0,0,0.0,0,0,0,0,,Matches
5,Emil Audero\649b01d8,it ITA,GK,Sampdoria,it Serie A,24-314,1997,14,14,1260,14.0,26,1.86,70,46,64.3,4,3,7,3,21.4,1,1,0,0,0.0,Matches
6,Daniel Bachmann\1c0eea98,at AUT,GK,Watford,eng Premier League,27-142,1994,4,4,360,4.0,7,1.75,17,12,64.7,1,0,3,0,0.0,1,1,0,0,0.0,Matches
7,Édgar Badía\e4346678,es ESP,GK,Elche,es La Liga,29-289,1992,2,2,180,2.0,5,2.50,8,5,62.5,0,1,1,0,0.0,2,2,0,0,0.0,Matches
8,Stefan Bajic\be13e5a8,fr FRA,GK,Saint-Étienne,fr Ligue 1,19-340,2001,4,2,285,3.2,10,3.16,19,10,52.6,0,1,1,0,0.0,1,1,0,0,0.0,Matches
9,Oliver Baumann\47064058,de GER,GK,Hoffenheim,de Bundesliga,31-179,1990,12,12,1080,12.0,17,1.42,50,33,66.0,5,2,5,5,41.7,1,0,0,1,,Matches
10,Asmir Begović\7b4de647,ba BIH,GK,Everton,eng Premier League,34-161,1987,1,1,90,1.0,3,3.00,3,1,0.0,0,0,1,0,0.0,0,0,0,0,,Matches
