Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
1,Max Aarons\774cf58b,eng ENG,DF,Norwich City,eng Premier League,21-328,2000,13.0,3,0,0,10,25,1,21,18,13,0,0,1,76,7,24,22.6,Matches
2,Yunis Abdelhamid\32c2d95f,ma MAR,DF,Reims,fr Ligue 1,34-061,1987,14.0,2,0,0,16,13,0,1,51,18,0,0,0,90,34,23,59.6,Matches
3,Salis Abdul Samed\82464ce3,gh GHA,MF,Clermont Foot,fr Ligue 1,21-247,2000,11.7,3,0,0,22,16,0,1,23,21,0,0,0,82,9,8,52.9,Matches
4,Laurent Abergel\31626657,fr FRA,MF,Lorient,fr Ligue 1,28-300,1993,13.0,5,0,0,18,29,0,7,27,28,0,0,0,121,3,5,37.5,Matches
5,Charles Abi\469d3d84,fr FRA,FW,Saint-Étienne,fr Ligue 1,21-230,2000,0.5,0,0,0,1,0,0,1,0,0,0,0,0,2,1,0,100.0,Matches
6,Dickson Abiama\cadd666a,ng NGA,FW,Greuther Fürth,de Bundesliga,23-025,1998,4.4,1,0,0,10,7,9,2,4,6,0,0,0,21,12,22,35.3,Matches
7,Matthis Abline\bbe96b16,fr FRA,FW,Rennes,fr Ligue 1,18-245,2003,1.1,0,0,0,2,1,0,1,1,0,0,0,0,7,0,2,0.0,Matches
8,Tammy Abraham\f586779e,eng ENG,FW,Roma,it Serie A,24-057,1997,12.2,4,0,0,22,16,8,8,3,12,0,0,0,33,31,30,50.8,Matches
9,Luis Abram\1f462f95,pe PER,DF,Granada,es La Liga,25-274,1996,5.2,1,0,0,4,5,0,0,11,4,0,0,0,18,9,12,42.9,Matches
10,Francesco Acerbi\b96b595c,it ITA,DF,Lazio,it Serie A,33-291,1988,10.8,1,1,0,11,7,1,1,24,5,1,0,0,124,39,17,69.6,Matches
