Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Att,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp,Off,Out,Int,Blocks,Matches
1,Max Aarons\774cf58b,eng ENG,DF,Norwich City,eng Premier League,21-328,2000,13.0,529,395,134,8,1,63,11,21,0,0,0,0,295,127,107,61,328,7,126,1,404,3,6,15,23,Matches
2,Yunis Abdelhamid\32c2d95f,ma MAR,DF,Reims,fr Ligue 1,34-061,1987,14.0,634,588,46,38,0,76,26,1,0,0,0,0,466,57,111,418,170,18,8,2,526,0,12,15,12,Matches
3,Salis Abdul Samed\82464ce3,gh GHA,MF,Clermont Foot,fr Ligue 1,21-247,2000,11.7,833,825,8,8,0,100,13,1,0,0,0,0,741,54,38,70,734,17,0,4,788,0,5,13,6,Matches
4,Laurent Abergel\31626657,fr FRA,MF,Lorient,fr Ligue 1,28-300,1993,13.0,619,612,7,5,3,132,20,7,0,0,0,0,477,68,74,52,556,7,1,0,501,3,7,19,27,Matches
5,Charles Abi\469d3d84,fr FRA,FW,Saint-Étienne,fr Ligue 1,21-230,2000,0.5,6,6,0,0,0,3,0,1,0,0,0,0,5,0,1,6,0,0,0,0,2,0,0,2,0,Matches
6,Dickson Abiama\cadd666a,ng NGA,FW,Greuther Fürth,de Bundesliga,23-025,1998,4.4,75,68,7,0,1,21,0,2,0,0,0,0,50,14,11,16,42,10,0,0,50,2,2,4,5,Matches
7,Matthis Abline\bbe96b16,fr FRA,FW,Rennes,fr Ligue 1,18-245,2003,1.1,10,10,0,0,0,4,0,1,0,0,0,0,9,1,0,3,7,0,0,0,8,0,0,1,0,Matches
8,Tammy Abraham\f586779e,eng ENG,FW,Roma,it Serie A,24-057,1997,12.2,235,215,20,1,1,67,2,8,0,0,0,0,155,50,30,17,164,18,0,11,179,0,2,8,9,Matches
9,Luis Abram\1f462f95,pe PER,DF,Granada,es La Liga,25-274,1996,5.2,199,190,9,5,0,10,6,0,0,0,0,0,159,13,27,166,20,7,2,1,177,1,0,1,1,Matches
10,Francesco Acerbi\b96b595c,it ITA,DF,Lazio,it Serie A,33-291,1988,10.8,760,734,26,21,1,62,25,1,0,0,0,0,547,83,130,567,139,27,0,2,688,0,9,6,3,Matches
11,Ragnar Ache\dc38e3bc,de GER,FWMF,Eint Frankfurt,de Bundesliga,23-123,1998,0.8,23,23,0,0,0,9,1,1,0,0,0,0,13,4,6,2,15,2,0,0,10,1,1,2,3,Matches
12,Marcos Acuña\81442ecb,ar ARG,DF,Sevilla,es La Liga,30-031,1991,9.0,739,603,136,25,2,57,34,46,14,0,13,0,443,107,189,549,65,17,97,1,589,2,11,25,13,Matches
13,Che Adams\f2bf1b0f,sct SCO,FW,Southampton,eng Premier League,25-138,1996,7.5,154,149,5,0,2,47,1,3,0,0,0,0,99,26,29,10,117,10,0,2,105,1,3,9,6,Matches
